epoch,step,train/mfm_acc,train/mfm_loss_epoch,train/mfm_loss_step,val/mfm_acc,val/mfm_loss
0,9,,,2.8908095359802246,,
0,19,,,2.830383539199829,,
0,29,,,2.789036989212036,,
0,39,,,2.787815570831299,,
0,49,,,2.7837438583374023,,
0,59,,,2.7828786373138428,,
0,69,,,2.777559995651245,,
0,79,,,2.7779417037963867,,
0,89,,,2.7698557376861572,,
0,99,,,2.759282112121582,,
0,109,,,2.759810209274292,,
0,119,,,2.758906841278076,,
0,129,,,2.7603859901428223,,
0,139,,,2.7453081607818604,,
0,149,,,2.7382686138153076,,
0,159,,,2.736299514770508,,
0,169,,,2.740940570831299,,
0,179,,,2.726384401321411,,
0,189,,,2.7239794731140137,,
0,199,,,2.7190966606140137,,
0,209,,,2.712540626525879,,
0,219,,,2.7142488956451416,,
0,229,,,2.703608512878418,,
0,239,,,2.6844143867492676,,
0,249,,,2.6999599933624268,,
0,259,,,2.69187068939209,,
0,269,,,2.6910276412963867,,
0,279,,,2.668041944503784,,
0,289,,,2.6701605319976807,,
0,299,,,2.6543033123016357,,
0,309,,,2.6519651412963867,,
0,319,,,2.630887985229492,,
0,329,,,2.6347720623016357,,
0,339,,,2.6471970081329346,,
0,349,,,2.6198880672454834,,
0,359,,,2.6128804683685303,,
0,369,,,2.603407382965088,,
0,379,,,2.598228931427002,,
0,389,,,2.597977638244629,,
0,399,,,2.5853681564331055,,
0,409,,,2.5724756717681885,,
0,419,,,2.5782077312469482,,
0,429,,,2.5706846714019775,,
0,439,,,2.5617175102233887,,
0,449,,,2.5598151683807373,,
0,459,,,2.56874418258667,,
0,469,,,2.5366766452789307,,
0,479,,,2.5276362895965576,,
0,489,,,2.519502639770508,,
0,499,,,2.5170819759368896,,
0,509,,,2.503101348876953,,
0,519,,,2.5082132816314697,,
0,529,,,2.4964849948883057,,
0,539,,,2.495826482772827,,
0,549,,,2.481661558151245,,
0,559,,,2.500607490539551,,
0,569,,,2.5091230869293213,,
0,579,,,2.4725704193115234,,
0,589,,,2.483309268951416,,
