epoch,step,train/mfm_acc,train/mfm_loss_epoch,train/mfm_loss_step,val/mfm_acc,val/mfm_loss
0,9,,,2.652517318725586,,
0,19,,,2.583638906478882,,
0,29,,,2.389009475708008,,
0,39,,,2.295042037963867,,
0,49,,,2.2388246059417725,,
0,59,,,2.2415931224823,,
0,69,,,2.164952278137207,,
0,75,,,,0.28847718238830566,2.1585700511932373
0,75,0.2328428030014038,2.399472951889038,,,
1,79,,,2.1724023818969727,,
1,89,,,2.1694650650024414,,
1,99,,,2.1448771953582764,,
1,109,,,2.153095245361328,,
1,119,,,2.1549432277679443,,
1,129,,,2.109856128692627,,
1,139,,,2.1052536964416504,,
1,149,,,2.1666367053985596,,
1,151,,,,0.3065451979637146,2.0771238803863525
1,151,0.2924443781375885,2.1400296688079834,,,
2,159,,,2.144918441772461,,
2,169,,,2.1276607513427734,,
2,179,,,2.1589877605438232,,
2,189,,,2.168860673904419,,
2,199,,,2.0703656673431396,,
2,209,,,2.126210927963257,,
2,219,,,2.0796778202056885,,
2,227,,,,0.3006412982940674,2.079007387161255
2,227,0.2959427833557129,2.115809679031372,,,
3,229,,,2.1292736530303955,,
3,239,,,1.9842461347579956,,
3,249,,,2.1001322269439697,,
3,259,,,2.0909154415130615,,
3,269,,,2.135481834411621,,
3,279,,,2.0835227966308594,,
3,289,,,2.13205623626709,,
3,299,,,2.0457208156585693,,
3,303,,,,0.31529927253723145,2.0499448776245117
3,303,0.3007832467556,2.0910332202911377,,,
4,309,,,1.9965999126434326,,
4,319,,,2.0124123096466064,,
4,329,,,2.165645122528076,,
4,339,,,2.0675745010375977,,
4,349,,,2.1387622356414795,,
4,359,,,2.025813341140747,,
4,369,,,2.107574224472046,,
4,379,,,2.11962628364563,,
4,379,,,,0.31489208340644836,2.0419058799743652
4,379,0.30309510231018066,2.0795769691467285,,,
5,389,,,2.0687761306762695,,
5,399,,,2.019434690475464,,
5,409,,,2.1530284881591797,,
5,419,,,2.0279505252838135,,
5,429,,,2.0492045879364014,,
5,439,,,1.9843908548355103,,
5,449,,,2.0377578735351562,,
5,455,,,,0.3355048894882202,1.978360891342163
5,455,0.307466596364975,2.0638463497161865,,,
6,459,,,2.015413522720337,,
