epoch,step,train/drug_loss_epoch,train/drug_loss_step,train/drug_pearson_epoch,train/drug_pearson_step,train/drug_scaled,train/eln_loss_epoch,train/eln_loss_step,train/eln_qwk_epoch,train/eln_qwk_step,train/eln_scaled,train/subtype_acc_epoch,train/subtype_acc_step,train/subtype_loss_epoch,train/subtype_loss_step,train/subtype_scaled,train/survival_loss_epoch,train/survival_loss_step,train/survival_scaled,train/total_loss,val/drug_loss,val/drug_pearson,val/eln_loss,val/eln_qwk,val/subtype_acc,val/subtype_loss,val/survival_loss,val/total_loss
0,9,,1.0515434741973877,,-0.20388460159301758,0.5257714986801147,,1.1093066930770874,,0.0,0.5546526908874512,,0.25,,1.9033203125,0.9516541957855225,,0.8579460382461548,0.42897334694862366,2.4610517024993896,,,,,,,,
0,19,,0.7700611352920532,,0.013237416744232178,0.385031133890152,,1.1576967239379883,,-0.5,0.5788438320159912,,0.0,,2.357421875,1.1786694526672363,,1.0956718921661377,0.5478360056877136,2.690380573272705,,,,,,,,
0,28,,,,,,,,,,,,,,,,,,,,0.7009238600730896,0.2003069519996643,1.118303894996643,0.2773946225643158,0.13793103396892548,1.7762662172317505,1.0267913341522217,2.3110713958740234
0,28,0.93568354845047,,0.02481526881456375,,,1.1379035711288452,,0.003284076228737831,,,0.2068965584039688,,1.8580280542373657,,,0.9640063643455505,,,,,,,,,,,
1,29,,0.6758049130439758,,0.1546812653541565,0.3378928601741791,,2.5609517097473145,,0.0,1.2803817987442017,,0.0,,2.125,1.0624194145202637,,0.8024357557296753,0.40121546387672424,3.081909418106079,,,,,,,,
1,39,,0.8813145160675049,,0.08346867561340332,0.4406468868255615,,1.1771752834320068,,-0.25,0.5885676145553589,,0.5,,1.6875,0.8436598777770996,,0.0,-2.5704373911139555e-05,1.872848629951477,,,,,,,,
1,49,,0.685356855392456,,0.09446185827255249,0.34262606501579285,,1.0788016319274902,,0.5555555820465088,0.539387047290802,,0.25,,1.763671875,0.881674587726593,,0.9008629322052002,0.45042741298675537,2.2141151428222656,,,,,,,,
1,57,,,,,,,,,,,,,,,,,,,,0.7221574187278748,0.14804112911224365,1.1629323959350586,0.3379310071468353,0.24137930572032928,1.7378771305084229,1.1049915552139282,2.3637239933013916
1,57,0.7766076922416687,,0.02842620201408863,,,1.3361283540725708,,0.16418993473052979,,,0.24137930572032928,,1.8211207389831543,,,0.8738982081413269,,,,,,,,,,,
2,59,,0.7438602447509766,,0.02493417263031006,0.3718806803226471,,0.991327166557312,,0.5555555820465088,0.4956653416156769,,0.5,,1.5546875,0.7772114276885986,,1.0045356750488281,0.5022680759429932,2.1470255851745605,,,,,,,,
2,69,,0.6194473505020142,,0.3191547393798828,0.3096467852592468,,0.8554344773292542,,0.0,0.42774656414985657,,0.25,,2.302734375,1.1510437726974487,,0.7448604106903076,0.37241706252098083,2.2608542442321777,,,,,,,,
2,79,,1.1169259548187256,,-0.5436831712722778,0.5584876537322998,,1.0551743507385254,,0.3999999761581421,0.5275756120681763,,0.5,,1.38671875,0.6932597160339355,,0.638296365737915,0.31912878155708313,2.098451614379883,,,,,,,,
2,86,,,,,,,,,,,,,,,,,,,,0.7121204137802124,0.16153934597969055,1.0653506517410278,0.4361247718334198,0.17241379618644714,1.8166756629943848,1.0873072147369385,2.340437889099121
2,86,0.791711688041687,,0.04959437623620033,,,1.1126903295516968,,0.26841819286346436,,,0.2931034564971924,,1.7296605110168457,,,0.977939248085022,,,,,,,,,,,
3,89,,0.6856569051742554,,0.12284213304519653,0.3427591919898987,,1.156006097793579,,0.1111111044883728,0.5779693722724915,,0.25,,1.765625,0.8826077580451965,,1.2318229675292969,0.6159239411354065,2.419260263442993,,,,,,,,
3,99,,0.7694878578186035,,-0.0524294376373291,0.3846909701824188,,1.0443460941314697,,0.3999999761581421,0.5221632719039917,,0.5,,1.375,0.6873962879180908,,1.3219656944274902,0.6610010862350464,2.25525164604187,,,,,,,,
3,109,,0.7025043964385986,,-5.841255187988281e-06,0.35118111968040466,,0.7566794157028198,,0.5,0.3783949315547943,,0.75,,1.2744140625,0.6371287703514099,,0.4089806079864502,0.20445509254932404,1.5711599588394165,,,,,,,,
3,115,,,,,,,,,,,,,,,,,,,,0.7181703448295593,0.15351466834545135,0.9639879465103149,0.4724138081073761,0.24137930572032928,1.684267282485962,1.1100780963897705,2.2379982471466064
3,115,0.7541897892951965,,0.07685375958681107,,,1.0725352764129639,,0.23355227708816528,,,0.3103448152542114,,1.6934099197387695,,,0.9243583083152771,,,,,,,,,,,
4,119,,0.8049708604812622,,-0.19699478149414062,0.40243712067604065,,0.6997277140617371,,0.6666666269302368,0.3499327301979065,,0.5,,1.0673828125,0.5336716771125793,,1.289072871208191,0.6445544362068176,1.9305959939956665,,,,,,,,
4,129,,0.723974883556366,,-0.04147768020629883,0.36191657185554504,,1.1128302812576294,,0.6666666269302368,0.5563890933990479,,0.25,,1.681640625,0.840613603591919,,1.2612059116363525,0.6306189894676208,2.389538288116455,,,,,,,,
4,139,,0.6668029427528381,,0.15638011693954468,0.3333129286766052,,0.9816344380378723,,0.6666666269302368,0.4908215403556824,,0.5,,1.51171875,0.7556995153427124,,1.018691897392273,0.5093472003936768,2.0891811847686768,,,,,,,,
4,144,,,,,,,,,,,,,,,,,,,,0.7227370738983154,0.14775460958480835,1.0357568264007568,0.4863998293876648,0.24137930572032928,1.7133620977401733,1.1255964040756226,2.2984254360198975
4,144,0.8143912553787231,,-0.00900100264698267,,,1.0594465732574463,,0.34186387062072754,,,0.38793104887008667,,1.6118332147598267,,,1.069573163986206,,,,,,,,,,,
5,149,,0.7637900114059448,,0.08893555402755737,0.3818303644657135,,1.0785939693450928,,0.4285714030265808,0.5392786860466003,,0.5,,1.521484375,0.7605751752853394,,1.1435478925704956,0.5717840194702148,2.2534682750701904,,,,,,,,
5,159,,0.8556932806968689,,-0.05823922157287598,0.42780596017837524,,0.7518725395202637,,0.5555555820465088,0.37599441409111023,,0.75,,1.36328125,0.6815214157104492,,1.2497920989990234,0.6249147057533264,2.110236406326294,,,,,,,,
5,169,,0.8183177709579468,,1.5497207641601562e-05,0.4091063141822815,,1.4394910335540771,,0.25,0.7196418642997742,,0.5,,1.4970703125,0.7483679056167603,,0.7526679039001465,0.3763146996498108,2.2534306049346924,,,,,,,,
5,173,,,,,,,,,,,,,,,,,,,,0.7129166126251221,0.16281470656394958,0.9695168137550354,0.5093883872032166,0.24137930572032928,1.645272135734558,1.1476948261260986,2.2374157905578613
5,173,0.8104411959648132,,0.09256525337696075,,,1.0433481931686401,,0.35449662804603577,,,0.42241379618644714,,1.6280475854873657,,,0.9488389492034912,,,,,,,,,,,
6,179,,0.9164993762969971,,-0.062281012535095215,0.45822498202323914,,0.9079440832138062,,0.692307710647583,0.45399391651153564,,0.5,,1.48046875,0.7400689125061035,,1.1099495887756348,0.5549837946891785,2.2072715759277344,,,,,,,,
6,189,,0.7722700834274292,,0.06827318668365479,0.38606563210487366,,1.1186389923095703,,-0.25,0.559291422367096,,0.25,,1.5791015625,0.7893463969230652,,1.4872841835021973,0.7436832189559937,2.478386640548706,,,,,,,,
6,199,,0.8236221075057983,,0.1704586148262024,0.4117557108402252,,0.9292205572128296,,0.5,0.4646269381046295,,0.5,,1.7109375,0.8552111983299255,,1.014857292175293,0.5074299573898315,2.2390239238739014,,,,,,,,
6,202,,,,,,,,,,,,,,,,,,,,0.707675576210022,0.16751796007156372,0.9818516373634338,0.5093883872032166,0.27586206793785095,1.6170527935028076,1.0959316492080688,2.2009496688842773
6,202,0.7756691575050354,,0.09899010509252548,,,1.0119024515151978,,0.34905382990837097,,,0.32758620381355286,,1.6107051372528076,,,0.9238687753677368,,,,,,,,,,,
7,209,,0.42837944626808167,,1.0,0.2140049785375595,,0.8289857506752014,,0.800000011920929,0.41453272104263306,,0.5,,1.4345703125,0.7171236276626587,,0.7603580951690674,0.3801577687263489,1.7258191108703613,,,,,,,,
7,219,,0.7171980738639832,,-0.03567230701446533,0.3585051894187927,,1.3888788223266602,,0.0,0.6943501830101013,,0.5,,1.697265625,0.8483675122261047,,0.6957224607467651,0.3478337824344635,2.249056577682495,,,,,,,,
7,229,,0.7688755393028259,,0.18391013145446777,0.3843592703342438,,0.9453297853469849,,0.5,0.47267743945121765,,0.25,,1.86669921875,0.9330122470855713,,1.4291892051696777,0.7146342396736145,2.504683256149292,,,,,,,,
7,231,,,,,,,,,,,,,,,,,,,,0.7114673256874084,0.1682674139738083,0.8740882873535156,0.5759505033493042,0.3103448152542114,1.5759698152542114,1.0852303504943848,2.1230902671813965
7,231,0.7754048109054565,,0.12479798495769501,,,0.9326561093330383,,0.4547690451145172,,,0.4568965435028076,,1.5121228694915771,,,0.9895099997520447,,,,,,,,,,,
8,239,,0.7369792461395264,,0.06003284454345703,0.36839815974235535,,0.5521996021270752,,1.0,0.27620047330856323,,0.5,,1.318359375,0.6590530872344971,,0.8882471919059753,0.44411319494247437,1.7477649450302124,,,,,,,,
8,249,,0.6722555160522461,,0.10182327032089233,0.3360109031200409,,0.4085090756416321,,1.0,0.2043846696615219,,0.25,,1.50390625,0.7517484426498413,,0.7069802284240723,0.353462278842926,1.645606279373169,,,,,,,,
8,259,,0.7508430480957031,,-0.06343746185302734,0.3753308057785034,,0.5564201474189758,,1.0,0.27830663323402405,,0.0,,1.64453125,0.8219984173774719,,0.6965587735176086,0.3482493758201599,1.8238853216171265,,,,,,,,
8,260,,,,,,,,,,,,,,,,,,,,0.7194868326187134,0.15917310118675232,0.9167046546936035,0.5759505033493042,0.3103448152542114,1.5922683477401733,1.128712773323059,2.1782679557800293
8,260,0.7663088440895081,,0.038696449249982834,,,0.911012589931488,,0.3995335102081299,,,0.3448275923728943,,1.56689453125,,,0.8761880993843079,,,,,,,,,,,
9,269,,0.6694993376731873,,0.17659789323806763,0.3346264660358429,,1.214935302734375,,0.2857142686843872,0.607421875,,0.25,,1.60107421875,0.8002831935882568,,0.8103080987930298,0.4051342010498047,2.147465705871582,,,,,,,,
9,279,,0.8629133701324463,,0.2318476438522339,0.43140459060668945,,0.3461943566799164,,1.0,0.17323441803455353,,0.75,,0.9638671875,0.4819493889808655,,0.0,-0.0001079350768122822,1.0864803791046143,,,,,,,,
9,289,,0.829196572303772,,0.1924811601638794,0.4145318269729614,,1.1090599298477173,,0.5,0.5545073747634888,,0.5,,1.736328125,0.8678393959999084,,0.9970260858535767,0.49851271510124207,2.3353915214538574,,,,,,,,
9,289,,,,,,,,,,,,,,,,,,,,0.7170951962471008,0.15561507642269135,0.9169607758522034,0.5431097745895386,0.24137930572032928,1.5741513967514038,1.1978569030761719,2.2027077674865723
9,289,0.7528434991836548,,0.10945502668619156,,,0.9785909056663513,,0.40982702374458313,,,0.4568965435028076,,1.5445514917373657,,,0.8165237307548523,,,,,,,,,,,
10,299,,0.6082689762115479,,0.19047480821609497,0.3039785623550415,,0.8545869588851929,,0.5,0.42732366919517517,,0.5,,1.6171875,0.8083158731460571,,1.1396697759628296,0.5698511004447937,2.109469413757324,,,,,,,,
10,309,,0.8150240182876587,,0.07184350490570068,0.407436728477478,,1.1956170797348022,,0.375,0.5977685451507568,,0.5,,1.380859375,0.6902547478675842,,1.8804409503936768,0.9403254389762878,2.6357855796813965,,,,,,,,
10,318,,,,,,,,,,,,,,,,,,,,0.7151226997375488,0.15450355410575867,0.8645085692405701,0.6170772314071655,0.3103448152542114,1.5577855110168457,1.1125514507293701,2.1246445178985596
10,318,0.6866233944892883,,0.17772015929222107,,,0.972227156162262,,0.3779456913471222,,,0.3965517282485962,,1.5463531017303467,,,0.9215450286865234,,,,,,,,,,,
11,319,,0.8214432597160339,,-0.11108863353729248,0.4106472432613373,,0.8178290128707886,,0.6666666269302368,0.408951073884964,,0.75,,0.905029296875,0.4525594711303711,,1.0456786155700684,0.5228448510169983,1.7950025796890259,,,,,,,,
