epoch,step,train/drug_loss_step,train/drug_pearson_step,train/drug_scaled,train/eln_loss_step,train/eln_qwk_step,train/eln_scaled,train/subtype_acc_step,train/subtype_loss_step,train/subtype_scaled,train/survival_loss_step,train/survival_scaled,train/total_loss
0,9,0.8866022229194641,0.16323542594909668,0.4433009624481201,1.4878902435302734,0.0,0.743942379951477,0.5,1.5234375,0.7617156505584717,0.0,-6.544522420881549e-06,1.9489524364471436
0,19,0.5184030532836914,1.0,0.25919556617736816,1.4945964813232422,-0.6666666269302368,0.747286319732666,0.5,1.26953125,0.6347578763961792,0.2671041488647461,0.1335291862487793,1.7747689485549927
0,29,0.47102829813957214,1.0,0.23548761010169983,1.477052092552185,0.0,0.7385007739067078,0.0,2.9375,1.4686142206192017,0.3938140869140625,0.19686216115951538,2.639464855194092
0,39,0.17296689748764038,1.0,0.0863960012793541,1.2974486351013184,0.0,0.6486993432044983,0.0,2.18359375,1.0916436910629272,0.5042337775230408,0.2520531415939331,2.0787923336029053
0,49,0.6858267784118652,0.333301305770874,0.3428572714328766,1.0580776929855347,0.0,0.5290307402610779,0.5,1.89453125,0.9470765590667725,0.2107991874217987,0.10523911565542221,1.9242037534713745
0,59,0.652468740940094,0.16106140613555908,0.32616493105888367,1.2820281982421875,0.0,0.6409695744514465,0.5,1.76171875,0.8806782364845276,0.0,-0.0002291717246407643,1.8475836515426636
0,69,0.9005001187324524,1.0,0.4502294361591339,0.9423513412475586,0.0,0.4711851477622986,0.0,2.28515625,1.1422603130340576,0.9357829093933105,0.467876136302948,2.5315511226654053
0,79,0.5906277894973755,0.28568780422210693,0.2952252924442291,1.5088348388671875,0.0,0.7543308138847351,0.0,1.80859375,0.9040889739990234,0.5254642367362976,0.26261448860168457,2.216259717941284
0,89,0.14365610480308533,1.0,0.07163581252098083,1.2891536951065063,0.0,0.6445258855819702,0.0,1.734375,0.8669920563697815,0.0,-0.0002566634793765843,1.5828971862792969
0,99,0.2191794365644455,1.0,0.10940894484519958,1.5919795036315918,-0.6666666269302368,0.7958816885948181,0.0,1.53125,0.7654785513877869,0.0,-0.0002663487393874675,1.6705029010772705
